date,episode_id,asset_type,asset_id,path,status,notes
2026-06-03,s01e04-bookstore-afternoon-longplay,source_doc,manifest,channel/episodes/s01e04-bookstore-afternoon-longplay/manifest.json,active,Episode truth file now shows Gate 2 intake complete
2026-06-03,s01e04-bookstore-afternoon-longplay,review_doc,current_state,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/current-state.md,active,Current source-only state for Gate 1+2 completion
2026-06-03,s01e04-bookstore-afternoon-longplay,review_doc,episode_production_worksheet,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/episode-production-worksheet.md,active,HIL-2 intake step completed; HIL-3 blocked
2026-06-03,s01e04-bookstore-afternoon-longplay,review_doc,audio_candidate_intake,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/audio-candidate-intake.md,active,26 raw audio files organized as deterministic c01 selected and c02 pool
2026-06-03,s01e04-bookstore-afternoon-longplay,review_doc,visual_candidate_intake,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/visual-candidate-intake.md,active,vis-c01 copied to visual/selected and recorded
2026-06-03,s01e04-bookstore-afternoon-longplay,review_doc,candidate_intake_checklist,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/candidate-intake-checklist.md,active,"Candidate lane coverage: 26 raw wav, 13 selected, 13 pool, 1 visual"
2026-06-03,s01e04-bookstore-afternoon-longplay,source_doc,songs_plan,channel/episodes/s01e04-bookstore-afternoon-longplay/source/songs.md,active,13-track source plan with status source_pack_ready
2026-06-03,s01e04-bookstore-afternoon-longplay,source_doc,suno_manual_fields,channel/episodes/s01e04-bookstore-afternoon-longplay/source/suno-manual-fields.md,active,Source-only Suno manual field mapping synced for all 13 tracks
2026-06-03,s01e04-bookstore-afternoon-longplay,source_doc,suno_track_directory,channel/episodes/s01e04-bookstore-afternoon-longplay/source/suno-tracks,active,13 source-only Suno track files created for Gate 1 lock
2026-06-03,s01e04-bookstore-afternoon-longplay,source_doc,prompt_pack,channel/episodes/s01e04-bookstore-afternoon-longplay/source/prompt-pack.md,active,Source prompt pack synced with track sequence and source-only lane
2026-06-03,s01e04-bookstore-afternoon-longplay,source_doc,metadata,channel/episodes/s01e04-bookstore-afternoon-longplay/source/metadata.md,active,Source metadata/disclosure pack synced for source-only use
2026-06-03,s01e04-bookstore-afternoon-longplay,media,audio_raw,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e04-bookstore-afternoon-longplay/audio,active,26 user-supplied raw WAV variants for 13 tracks (base and 1)
2026-06-03,s01e04-bookstore-afternoon-longplay,media,audio_selected,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e04-bookstore-afternoon-longplay/audio/selected,active,13 deterministic c01 candidate WAVs selected for local assembly
2026-06-03,s01e04-bookstore-afternoon-longplay,media,audio_pool,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e04-bookstore-afternoon-longplay/audio/pool,active,13 c02 pool candidate WAVs retained
2026-06-03,s01e04-bookstore-afternoon-longplay,media,visual_raw,"/Users/xiivth/workspaces/zodiac/leo/candidates/s01e04-bookstore-afternoon-longplay/visual/ChatGPT Image Jun 3, 2026, 01_50_09 PM.png",active,User-supplied raw visual still candidate source
2026-06-03,s01e04-bookstore-afternoon-longplay,media,visual_selected,/Users/xiivth/workspaces/zodiac/leo/candidates/s01e04-bookstore-afternoon-longplay/visual/selected/vis-c01--bookstore-afternoon-playlist-cover.png,active,Selected still-image candidate vis-c01 for local render/QA
2026-06-05,s01e04-bookstore-afternoon-longplay,media,video_draft,candidates/s01e04-bookstore-afternoon-longplay/render/local-render-01/video/s01e04-bookstore-afternoon-longplay.local-render-01-draft-subtitled-9703dfb504f822-1080p24-qa.mp4,active,Full 40m33s subtitled local QA video successfully rendered (SHA256: a95b231b313853c543d56648f4f6adbe95ace0cdd5c3ff201b828b15b21090ed)
2026-06-05,s01e04-bookstore-afternoon-longplay,source_doc,youtube_video_resource,channel/episodes/s01e04-bookstore-afternoon-longplay/source/youtube-video-resource.json,active,"Private videos.insert resource JSON used for YouTube API upload"
2026-06-05,s01e04-bookstore-afternoon-longplay,source_doc,youtube_api_video_upload_package,channel/episodes/s01e04-bookstore-afternoon-longplay/source/youtube-api-video-upload-package.md,active,"Guarded private YouTube API video upload execution package and configuration"
2026-06-08,s01e04-bookstore-afternoon-longplay,youtube_video,video_id_OMjvEEAIFSU,https://youtu.be/OMjvEEAIFSU,active,"Guarded private YouTube upload verified on channel UC4qQwe3oiykEGhL_WyVFtMg"
2026-06-05,s01e04-bookstore-afternoon-longplay,thumbnail,layered-premium,candidates/s01e04-bookstore-afternoon-longplay/thumbnail/s01e04-bookstore-afternoon-longplay.thumbnail-layered-premium-1280x720.png,active,"High-fidelity layered premium floating-text PNG YouTube thumbnail candidate"
2026-06-05,s01e04-bookstore-afternoon-longplay,source_doc,youtube_api_thumbnail_upload_package,channel/episodes/s01e04-bookstore-afternoon-longplay/source/youtube-api-thumbnail-upload-package.md,active,"Thumbnail-only YouTube Data API execution package and completed evidence"
2026-06-08,s01e04-bookstore-afternoon-longplay,youtube_thumbnail,maxres_1280x720,https://i.ytimg.com/vi/OMjvEEAIFSU/maxresdefault.jpg,active,"YouTube thumbnails.set response returned maxres 1280x720 variant for selected local PNG"
2026-06-05,s01e04-bookstore-afternoon-longplay,media,video_draft,candidates/s01e04-bookstore-afternoon-longplay/render/local-render-01/video/s01e04-bookstore-afternoon-longplay.local-render-01-draft-subtitled-4fdc872b578a82-1080p24-qa.mp4,stale,Stale draft render from before title rename
2026-06-05,s01e04-bookstore-afternoon-longplay,youtube_video,video_id_e0Li1Cp2iAc,https://youtu.be/e0Li1Cp2iAc,stale,Stale YouTube upload from before title rename
2026-06-05,s01e04-bookstore-afternoon-longplay,thumbnail,layered-premium,candidates/s01e04-bookstore-afternoon-longplay/thumbnail/s01e04-bookstore-afternoon-longplay.thumbnail-layered-premium-1280x720.png,stale,Stale thumbnail from before title rename
2026-06-05,s01e04-bookstore-afternoon-longplay,source_doc,suno_track_directory,channel/episodes/s01e04-bookstore-afternoon-longplay/source/suno-tracks,active,Renamed 13 track files created
2026-06-07,s01e04-bookstore-afternoon-longplay,review_doc,audio_candidate_intake,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/audio-candidate-intake.md,active,Track c01/c02 lane verified in Gate 2 source-only sequence
2026-06-07,s01e04-bookstore-afternoon-longplay,review_doc,visual_candidate_intake,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/visual-candidate-intake.md,active,vis-c01 source-only selected visual intake recorded
2026-06-08,s01e04-bookstore-afternoon-longplay,youtube_video,video_id_OMjvEEAIFSU,https://youtu.be/OMjvEEAIFSU,active,"YouTube Data API check shows privacyStatus=public and uploadStatus=processed; title, description, and thumbnail visible at canonical URL."
2026-06-08,s01e04-bookstore-afternoon-longplay,youtube_video_comment,comment_thread_id_UgxiFerr9ZjOvuUC7od4AaABAg,https://www.youtube.com/watch?v=OMjvEEAIFSU,active,"Top-level comment created successfully via youtube.commentThreads.insert after public publish. API pinning for comment is not supported; pin remains manual in YouTube Studio."
2026-06-08,s01e04-bookstore-afternoon-longplay,youtube_video_comment,comment_thread_id_UgxE0B311LZs6GvMiEN4AaABAg,https://www.youtube.com/watch?v=OMjvEEAIFSU,active,"Top-level comment re-posted via youtube.commentThreads.insert on video OMjvEEAIFSU. New comment thread ID UgxE0B311LZs6GvMiEN4AaABAg."
