date,episode_id,decision_id,decision,status,source_path,notes
2026-05-29,s01e03-rooftop-golden-hour-longplay,D000,Open Gate 0 scaffold for Rooftop Golden Hour Longplay,scaffolded_source_only,channel/episodes/s01e03-rooftop-golden-hour-longplay/manifest.json,No provider media render export upload public publish or rights/platform approval
2026-05-29,s01e03-rooftop-golden-hour-longplay,D001,Lock Gate 1 source packet for Rooftop Golden Hour Longplay,gate_1_source_packet_locked,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/songs.md,Source files are finalized and locked for media generation handoff
2026-05-30,s01e03-rooftop-golden-hour-longplay,D002,Approve Gate 2 local intake and subtitle timing for Rooftop Golden Hour Longplay,gate_2_intake_subtitles_aligned,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/subtitles.md,Deterministic audio selection visual vis-c01 selected and stable-ts dynamic subtitle alignments promoted
2026-05-30,s01e03-rooftop-golden-hour-longplay,D003,"Complete Gate 3 local render-02 with burned-in subtitles and custom overlay visual shell for Rooftop Golden Hour Longplay",gate_3_render_completed,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/render-export-qa.md,"Render completed successfully and mechanical QA passed; waiting for user final watch-pass approval"
2026-05-30,s01e03-rooftop-golden-hour-longplay,D004,"Schedule S01E03 public release for June 2 or June 3, 2026",locked,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/release-decision-plan.md,"Adopts user request to space out video releases by 3 to 4 days (EP2 was released on May 29-30, 2026)"
2026-05-30,s01e03-rooftop-golden-hour-longplay,D005,Correct Track 1 subtitle timing and programmatically audit all other tracks,gate_3_render_rebuilt,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/subtitles.md,"Track 1 starts 1.64s before vocals (at 2.50s); all other tracks verified correct with precise 0.20s lead-ins and no display during silent intros"
2026-06-02,s01e03-rooftop-golden-hour-longplay,D006,Approve render-02 final-video candidate for YouTube upload,user_approved_final_video_upload,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/render-export-qa.md,"User explicitly approved upload to YouTube and requested pinned comment"
2026-06-02,s01e03-rooftop-golden-hour-longplay,D007,Execute guarded private YouTube API upload for S01E03,private_upload_completed,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,"videos.insert completed as private video ID 2P6fPs7NB0E after channel verification"
2026-06-02,s01e03-rooftop-golden-hour-longplay,D008,Record top-level comment API block and keep pinning pending,comment_pin_pending_manual_or_future_gate,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,"commentThreads.insert returned 403 forbidden so no comment was created; API helper did not attempt comment pinning"
2026-06-02,s01e03-rooftop-golden-hour-longplay,D009,Retry top-level comment after video was observed public and processed,comment_posted_pin_pending,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,"commentThreads.insert retry created comment ID Ugw3CXuFnYeKOp4TNi54AaABAg; pinning still pending/manual because helper has no pin operation"
2026-06-03,s01e03-rooftop-golden-hour-longplay,D010,Execute guarded thumbnail upload for S01E03,thumbnail_set_completed,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/youtube-api-thumbnail-upload-package.md,"User approved thumbnail upload; thumbnails.set completed for video ID 2P6fPs7NB0E using selected local PNG and returned maxres 1280x720 variant"
2026-06-03,s01e03-rooftop-golden-hour-longplay,D011,Close S01E03 as public_release_completed with pin pending,manual_public_release_completed_pin_pending,channel/episodes/s01e03-rooftop-golden-hour-longplay/manifest.json,"Video 2P6fPs7NB0E upload, thumbnail follow-up, and top-level comment are complete; public visibility confirmed via API check; browser pinning remains manual"
