date,episode_id,decision_id,decision,status,source_path,notes
2026-05-26,s01e02-classroom-window-longplay,D001,Use Season 1 Week 2 source packet as second episode,locked,channel/roadmap.md,Classroom Window theme
2026-05-26,s01e02-classroom-window-longplay,D002,Use 12 main songs plus 1 bonus full closing song,locked,channel/channel.md,Covers baseline format
2026-05-26,s01e02-classroom-window-longplay,D003,Keep college young-adult study-night PG theme spine,locked,channel/episodes/s01e02-classroom-window-longplay/reviews/source-shaping.md,Block childlike sexualized teacher-student and real-school elements
2026-05-27,s01e02-classroom-window-longplay,D004,Adopt user-supplied vis-c01 classroom-night Mode background,locked,channel/episodes/s01e02-classroom-window-longplay/reviews/visual.md,Conforms to signature visual system watercolor style
2026-05-27,s01e02-classroom-window-longplay,D005,Select 13 c01 WAV audio tracks,locked,channel/episodes/s01e02-classroom-window-longplay/reviews/audio-candidate-intake.md,Passed user listening checks
2026-05-28,s01e02-classroom-window-longplay,D006,Timed timeline using stable-ts dynamic vocal alignment,locked,channel/episodes/s01e02-classroom-window-longplay/reviews/subtitles.md,Promoted to authoritative sidecars for render burning
2026-05-28,s01e02-classroom-window-longplay,D007,Use EP1 render-05 overlay standard for local render-02,locked,channel/signature-visual-system.md,Symmetric headphone Bézier curves ribbon equalizer and particle drift
2026-05-29,s01e02-classroom-window-longplay,D008,Upload subtitled render-02 MP4 as private video ID KZNjs0Z7-Pw,locked,channel/episodes/s01e02-classroom-window-longplay/reviews/youtube-api-execution-gate.md,Using narrow bounded YouTube Data API videos.insert gate
2026-05-29,s01e02-classroom-window-longplay,D009,Select and upload thumbnail v4 big-brand-depth layout,locked,channel/episodes/s01e02-classroom-window-longplay/source/youtube-api-thumbnail-upload-package.md,Using narrow bounded thumbnails.set API gate
2026-05-29,s01e02-classroom-window-longplay,D010,Manually release Episode 2 publicly on YouTube,locked,channel/episodes/s01e02-classroom-window-longplay/manifest.json,Manual public release successfully completed on YouTube under video ID KZNjs0Z7-Pw
2026-05-29,s01e02-classroom-window-longplay,D011,Approve premium layered thumbnail design layout as authoritative channel-wide visual spine,user_approved,channel/signature-visual-system.md,Locked in the extrabold letter-spaced uppercase title at y=185 bottom badges at y=540 with 18px label gap white caption at y=650 and soft depth layering
