date,episode_id,gate,area,status,source_path,notes
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_0_bootstrap,episode_packet,scaffolded_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/manifest.json,Fresh episode packet scaffold created with no media candidates or release facts
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_0_bootstrap,source_packet,pending,channel/episodes/s01e04-bookstore-afternoon-longplay/source/songs.md,Gate 1 source packet still needs shape review song source Suno fields visual source metadata and reviews
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_1_source,source_packet,locked,channel/episodes/s01e04-bookstore-afternoon-longplay/source/suno-tracks/,"Gate 1 source packet is locked: songs, suno manual fields, 13 Suno track files, prompt pack, metadata, and visual source notes are source-synced only"
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_2_intake,audio_candidates,pass,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/audio-candidate-intake.md,26 raw WAV organized into 13 c01 selected and 13 c02 pooled files under candidates/audio/
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_2_intake,visual_candidates,pass,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/visual-candidate-intake.md,1 still-image candidate observed and vis-c01 copied to candidates/visual/selected/
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_2_intake,subtitles,not_started,channel/episodes/s01e04-bookstore-afternoon-longplay/tracking/status.csv,Subtitle lane blocked until Gate 3 subtitle prep
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_0_bootstrap,release_gate,blocked,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/release-decision-plan.md,Upload publish API browser schedule analytics Content ID and account actions remain blocked
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_3_render,subtitles,source_timing_plan_opened,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/subtitles.md,HIL-3 subtitle lane opened with timing plan in place; final sidecars not yet generated
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_3_render,assembly_package,local_sequence_plan_created,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/assembly-package.md,Created 13-track local chapter timeline with 12 x 1.00s gaps and 40:33.72 target duration
2026-06-03,s01e04-bookstore-afternoon-longplay,gate_3_render,render_export_plan,local_render_plan_opened,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/render-export-plan.md,Local render-01 planning opened with output placeholders and stop conditions recorded
2026-06-05,s01e04-bookstore-afternoon-longplay,gate_3_render,render_export_plan,local_render_01_completed,candidates/s01e04-bookstore-afternoon-longplay/render/local-render-01/video/s01e04-bookstore-afternoon-longplay.local-render-01-draft-subtitled-9703dfb504f822-1080p24-qa.mp4,Full 40m33s subtitled local QA video successfully rendered and checked for decodability (SHA256: a95b231b313853c543d56648f4f6adbe95ace0cdd5c3ff201b828b15b21090ed)
2026-06-08,s01e04-bookstore-afternoon-longplay,gate_4_upload,youtube_api_video_upload_package,video_uploaded_OMjvEEAIFSU_private,channel/episodes/s01e04-bookstore-afternoon-longplay/source/youtube-api-video-upload-package.md,"Private video upload successfully executed via YouTube Data API"
2026-06-08,s01e04-bookstore-afternoon-longplay,gate_4_upload,youtube_api_thumbnail_upload_package,thumbnail_set_completed_maxres_1280x720,channel/episodes/s01e04-bookstore-afternoon-longplay/source/youtube-api-thumbnail-upload-package.md,"Custom premium layered thumbnail successfully generated and uploaded via YouTube API thumbnails.set"
