date,episode_id,asset_type,asset_id,path,status,notes
2026-05-29,s01e03-rooftop-golden-hour-longplay,source_doc,manifest,channel/episodes/s01e03-rooftop-golden-hour-longplay/manifest.json,active,Episode truth file scaffold
2026-05-29,s01e03-rooftop-golden-hour-longplay,review_doc,current_state,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/current-state.md,active,Current source-only state scaffold
2026-05-30,s01e03-rooftop-golden-hour-longplay,media,audio_c01_selected,candidates/s01e03-rooftop-golden-hour-longplay/audio/selected/,active,13 selected track-01 PCM WAV candidate audio files
2026-05-30,s01e03-rooftop-golden-hour-longplay,media,visual_vis-c01_selected,candidates/s01e03-rooftop-golden-hour-longplay/visual/selected/vis-c01--rooftop-golden-hour-playlist-cover.png,active,1 selected 16:9 widescreen still-frame playlist-cover image
2026-05-30,s01e03-rooftop-golden-hour-longplay,subtitles,promoted_srt,channel/episodes/s01e03-rooftop-golden-hour-longplay/subtitles/s01e03-rooftop-golden-hour-longplay.en.srt,active,558 cues dynamic subtitle timing SRT sidecar
2026-05-30,s01e03-rooftop-golden-hour-longplay,subtitles,promoted_vtt,channel/episodes/s01e03-rooftop-golden-hour-longplay/subtitles/s01e03-rooftop-golden-hour-longplay.en.vtt,active,558 cues dynamic subtitle timing VTT sidecar
2026-05-30,s01e03-rooftop-golden-hour-longplay,thumbnail,layered-premium,candidates/s01e03-rooftop-golden-hour-longplay/thumbnail/s01e03-rooftop-golden-hour-longplay.thumbnail-layered-premium-1280x720.png,active,High-fidelity layered premium floating-text PNG YouTube thumbnail candidate
2026-05-30,s01e03-rooftop-golden-hour-longplay,media_audio,timeline_wav,candidates/s01e03-rooftop-golden-hour-longplay/render/local-render-02/audio/s01e03-rooftop-golden-hour-longplay.timeline-47m2216s.wav,active,"Stereo PCM WAV timeline 47:22.16"
2026-05-30,s01e03-rooftop-golden-hour-longplay,media_video,render_output,candidates/s01e03-rooftop-golden-hour-longplay/render/local-render-02/video/s01e03-rooftop-golden-hour-longplay.local-render-02-draft-subtitled-1080p24-qa.mp4,active,"Final local subtitled video candidate"
2026-05-30,s01e03-rooftop-golden-hour-longplay,snapshots,snapshot_set,candidates/s01e03-rooftop-golden-hour-longplay/render/local-render-02/qa/snapshots/,active,"6 sampled snapshot PNGs for HIL-3 review"
2026-06-02,s01e03-rooftop-golden-hour-longplay,source_doc,youtube_video_resource,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/youtube-video-resource.json,active,"Private videos.insert resource JSON used for YouTube API upload"
2026-06-02,s01e03-rooftop-golden-hour-longplay,review_doc,youtube_api_execution_gate,channel/episodes/s01e03-rooftop-golden-hour-longplay/reviews/youtube-api-execution-gate.md,active,"Private YouTube API upload evidence and blocked comment attempt record"
2026-06-03,s01e03-rooftop-golden-hour-longplay,source_doc,youtube_api_thumbnail_upload_package,channel/episodes/s01e03-rooftop-golden-hour-longplay/source/youtube-api-thumbnail-upload-package.md,active,"Thumbnail-only YouTube Data API execution package and completed evidence"
2026-06-03,s01e03-rooftop-golden-hour-longplay,youtube_thumbnail,maxres_1280x720,https://i.ytimg.com/vi/2P6fPs7NB0E/maxresdefault.jpg,active,"YouTube thumbnails.set response returned maxres 1280x720 variant for selected local PNG"
