date,episode_id,decision_id,decision,status,source_path,notes
2026-06-03,s01e04-bookstore-afternoon-longplay,D000,Open Gate 0 scaffold for Bookstore Afternoon Longplay,scaffolded_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/manifest.json,No provider media render export upload public publish or rights/platform approval
2026-06-03,s01e04-bookstore-afternoon-longplay,D001,Lock Gate 1 source packet for Bookstore Afternoon Longplay,gate_1_source_packet_locked_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/source/suno-tracks/,Source packet (13 tracks) is source-only locked; no provider media/render/upload claims
2026-06-03,s01e04-bookstore-afternoon-longplay,D002,Complete Gate 2 local candidate intake for Bookstore Afternoon Longplay,gate_2_source_media_packet_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/audio-candidate-intake.md,26 raw WAV files organized into deterministic c01 selected and c02 pool; vis-c01 selected and copied; subtitles/render lanes remain blocked
2026-06-03,s01e04-bookstore-afternoon-longplay,D003,Open HIL-3 sequence and render planning for Bookstore Afternoon Longplay,gate_3_render_plan_opened_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/assembly-package.md,Added assembly timeline subtitle lane plan and local render plan as source-only preparation
2026-06-05,s01e04-bookstore-afternoon-longplay,D004,Complete Gate 3 local render-01 QA,local_render_01_completed_qa_passed,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/render-export-plan.md,Full 40m33s local render completed and decodability check passed successfully
2026-06-08,s01e04-bookstore-afternoon-longplay,D005,Complete Gate 4 private video upload and thumbnail set,private_video_and_thumbnail_upload_completed,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/release-decision-plan.md,Private upload video ID OMjvEEAIFSU and custom layered thumbnail successfully uploaded; public release remains blocked
2026-06-05,s01e04-bookstore-afternoon-longplay,D006,Reset Episode 4 and rename tracks to short aesthetic titles,gate_1_source_packet_locked_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/source/suno-tracks/,Reset progress to Gate 1 source-locked due to track title renaming
2026-06-07,s01e04-bookstore-afternoon-longplay,D007,Re-open Gate 2 source media packet for Bookstore Afternoon Longplay,gate_2_media_packet_reopened_source_only,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/audio-candidate-intake.md & reviews/visual-candidate-intake.md,Revalidated 26 raw WAV variants and confirmed vis-c01 selected as Gate 2 source-only media packet.
2026-06-08,s01e04-bookstore-afternoon-longplay,D008,Observe public visibility for S01E04 via API,video_visibility_observed_public,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/release-decision-plan.md,"videos.list confirmed video OMjvEEAIFSU as privacyStatus=public and uploadStatus=processed on 2026-06-08."
2026-06-08,s01e04-bookstore-afternoon-longplay,D009,Close S01E04 release gate as public release completed,manual_public_release_completed,channel/episodes/s01e04-bookstore-afternoon-longplay/manifest.json,"Public API visibility confirmed for video ID OMjvEEAIFSU. Policy/account/gov actions and captions, playlists, and analytics remain pending until explicit approval."
2026-06-08,s01e04-bookstore-afternoon-longplay,D010,Publish public via videos.update and post top-level comment,public_release_with_comment_posted,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/release-decision-plan.md,"YouTube videos.update set video OMjvEEAIFSU to privacyStatus=public; commentThreads.insert created comment ID UgxiFerr9ZjOvuUC7od4AaABAg."
2026-06-08,s01e04-bookstore-afternoon-longplay,D011,Publish comment only rerun on public video,comment_posted_again,channel/episodes/s01e04-bookstore-afternoon-longplay/reviews/release-decision-plan.md,"YouTube commentThreads.insert executed again for video OMjvEEAIFSU, new comment thread ID UgxE0B311LZs6GvMiEN4AaABAg."
